facilityType,seNumber,sectionUid,sectionName,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,active
HOSPITAL,2,,Human Resource Management,,2.1.2.4,,,74,TRUE
HOSPITAL,2,,Human Resource Management,,2.1.2.5,,,75,TRUE
HOSPITAL,2,,Human Resource Management,,2.1.2.6,,,76,TRUE
HOSPITAL,2,,Human Resource Management,,2.1.2.7,,,77,TRUE
HOSPITAL,2,,Human Resource Management,,2.1.2.8,,,78,TRUE
HOSPITAL,2,,Human Resource Management,,2.1.2.9,,,79,TRUE
HOSPITAL,2,,Human Resource Management,,2.1.2.10,,,80,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.1,,,81,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.2,,,82,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.3,,,83,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.4,,,84,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.5,,,85,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.6,,,86,TRUE
HOSPITAL,2,,Human Resource Management,,2.2.1.7,,,87,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.1.1,,,88,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.1.2,,,89,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.1.3,,,90,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.2.1,,,91,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.2.2,,,92,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.2.3,,,93,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.3.1,,,94,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.3.2,,,95,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.3.3,,,96,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.3.4,,,97,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.3.5,,,98,TRUE
HOSPITAL,2,,Human Resource Management,,2.3.3.6,,,99,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.1.1,,,100,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.1.2,,,101,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.1.3,,,102,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.1.4,,,103,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.2.1,,,104,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.2.2,,,105,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.2.3,,,106,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.2.4,,,107,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.2.5,,,108,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.3.1,,,109,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.3.2,,,110,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.3.3,,,111,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.3.4,,,112,TRUE
HOSPITAL,2,,Human Resource Management,,2.4.3.5,,,113,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.1,,,114,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.2,,,115,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.3,,,116,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.4,,,117,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.5,,,118,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.6,,,119,TRUE
HOSPITAL,2,,Human Resource Management,,2.5.1.7,,,120,TRUE
HOSPITAL,2,,Human Resource Management,,2.6.1.1,,,121,TRUE
HOSPITAL,2,,Human Resource Management,,2.6.1.2,,,122,TRUE
HOSPITAL,2,,Human Resource Management,,2.6.1.3,,,123,TRUE
HOSPITAL,2,,Human Resource Management,,2.6.1.4,,,124,TRUE
HOSPITAL,2,,Human Resource Management,,2.6.1.5,,,125,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.1,,,126,TRUE
HOSPITAL,3,,Administrative Support,,3.1.1.2,,,127,TRUE
