facilityType,sourceCriterionCode,sourceDescription,linkType,targetCriterionCode,sortOrder,scoringWeight,includeInTooltip,active
HOSPITAL,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly",linked_criteria,8.1.1.1,1,1,TRUE,TRUE
HOSPITAL,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly",linked_criteria,8.1.1.6,2,1,TRUE,TRUE
HOSPITAL,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly",linked_criteria,8.2.2.4,3,1,TRUE,TRUE
HOSPITAL,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly",root,8.1.1.1,1,1,TRUE,TRUE
HOSPITAL,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly",root,8.1.1.6,2,1,TRUE,TRUE
HOSPITAL,1.1.1.8,"Those responsible for governance receive and act upon reports of the quality programme, at least quarterly",root,8.2.2.4,3,1,TRUE,TRUE
HOSPITAL,1.2.1.1,"The senior manager manages the day-to-day operation of the organisation, including those responsibilities described in the position description",linked_criteria,1.1.1.6-G,1,1,TRUE,TRUE
HOSPITAL,1.2.1.1,"The senior manager manages the day-to-day operation of the organisation, including those responsibilities described in the position description",root,1.1.1.6,1,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,1.2.1.5,1,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,18.1.1.4,2,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,18.2.1.4,3,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,18.3.2.1,4,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,18.3.5.3,5,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,19.1.1.2,6,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,2.3.3.1,7,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,2.5.1.1,8,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,20.2.2.1,9,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,21.1.1.3,10,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,21.3.1.1,11,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,25.2.2.4,12,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,26.2.1.1,13,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,26.5.3.3,14,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,29.1.1.5,15,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,3.2.1.3,16,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,3.3.2.2,17,1,TRUE,TRUE
HOSPITAL,1.2.1.4,The senior manager assures compliance with applicable laws and regulations,linked_criteria,3.4.1.8,18,1,TRUE,TRUE
