programStageId,seNumber,dataElementUid,dataElementCode,dhis2DataElementCode,dhis2DataElementName,sortOrder,compulsory,allowProvidedElsewhere,renderType,active
hup8BqEe7Mn,2,,2.1.1.1,,,64,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.1.2,,,65,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.1.3,,,66,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.1.4,,,67,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.1.5,,,68,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.1.6,,,69,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.1.7,,,70,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.1,,,71,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.2,,,72,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.3,,,73,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.4,,,74,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.5,,,75,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.6,,,76,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.7,,,77,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.8,,,78,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.9,,,79,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.1.2.10,,,80,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.1,,,81,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.2,,,82,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.3,,,83,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.4,,,84,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.5,,,85,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.6,,,86,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.2.1.7,,,87,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.1.1,,,88,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.1.2,,,89,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.1.3,,,90,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.2.1,,,91,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.2.2,,,92,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.2.3,,,93,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.3.1,,,94,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.3.2,,,95,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.3.3,,,96,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.3.4,,,97,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.3.5,,,98,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.3.3.6,,,99,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.1.1,,,100,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.1.2,,,101,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.1.3,,,102,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.1.4,,,103,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.2.1,,,104,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.2.2,,,105,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.2.3,,,106,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.2.4,,,107,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.2.5,,,108,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.3.1,,,109,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.3.2,,,110,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.3.3,,,111,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.3.4,,,112,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.4.3.5,,,113,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.1,,,114,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.2,,,115,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.3,,,116,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.4,,,117,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.5,,,118,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.6,,,119,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.5.1.7,,,120,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.6.1.1,,,121,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.6.1.2,,,122,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.6.1.3,,,123,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.6.1.4,,,124,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,2,,2.6.1.5,,,125,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.1,,,126,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.2,,,127,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.3,,,128,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.4,,,129,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.5,,,130,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.6,,,131,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.7,,,132,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.8,,,133,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.9,,,134,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.1.1.10,,,135,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.1,,,136,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.2,,,137,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.3,,,138,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.4,,,139,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.5,,,140,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.6,,,141,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.7,,,142,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.8,,,143,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.9,,,144,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.10,,,145,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.11,,,146,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.12,,,147,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.13,,,148,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.14,,,149,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.2.1.15,,,150,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.1.1,,,151,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.1.2,,,152,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.1.3,,,153,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.1.4,,,154,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.1.5,,,155,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.1.6,,,156,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.2.2,,,157,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.2.1,,,158,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.2.3,,,159,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.2.4,,,160,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.3.2.5,,,161,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.1,,,162,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.2,,,163,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.3,,,164,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.4,,,165,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.5,,,166,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.6,,,167,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.7,,,168,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.8,,,169,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.1.9,,,170,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.1,,,171,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.2,,,172,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.3,,,173,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.4,,,174,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.5,,,175,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.6,,,176,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,3,,3.4.2.7,,,177,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.1,,,178,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.2,,,179,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.3,,,180,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.4,,,181,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.5,,,182,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.6,,,183,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.7,,,184,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.8,,,185,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.9,,,186,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.1.1.10,,,187,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.1.1,,,188,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.1.2,,,189,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.1.3,,,190,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.1.4,,,191,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.1.5,,,192,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.1,,,193,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.2,,,194,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.3,,,195,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.4,,,196,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.5,,,197,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.6,,,198,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.2.7,,,199,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.3.1,,,200,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.3.2,,,201,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.3.3,,,202,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.3.4,,,203,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.4.1,,,204,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.4.2,,,205,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.4.3,,,206,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.4.4,,,207,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.4.5,,,208,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,4,,4.2.4.6,,,209,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.1.1.1,,,210,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.1.1.2,,,211,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.1.1.3,,,212,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.1.1.4,,,213,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.1.1.5,,,214,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.1.1.6,,,215,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.1.1,,,216,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.1.2,,,217,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.1.3,,,218,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.1.4,,,219,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.2.1,,,220,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.2.2,,,221,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.2.2.3,,,222,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.3.1.1,,,223,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.3.1.2,,,224,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.1.1,,,225,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.1.2,,,226,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.2.1,,,227,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.2.2,,,228,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.2.3,,,229,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.2.4,,,230,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.4.2.5,,,231,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.5.1.1,,,232,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.5.1.2,,,233,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.5.1.3,,,234,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.6.1.1,,,235,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.6.1.2,,,236,FALSE,FALSE,DEFAULT,TRUE
hup8BqEe7Mn,5,,5.6.1.3,,,237,FALSE,FALSE,DEFAULT,TRUE
