facilityType,seNumber,sectionPiId,standardId,questionCode,questionText,guideline,category,severity,isCritical,dataElementUid,dhis2DataElementCode,dhis2DataElementName,uidMatchMethod,valueType,domainType,optionSetUid,compulsory,sortOrderWithinStandard,active
HOSPITAL,1,1.2,1.2.2,1.2.2.1,"The senior manager facilitates communication and co-operation between the organisation’s governance structure, management and the community.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.2,"The senior manager implements processes to manage and control human, financial and other resources;","This is assessed against the organisational policy framework and evidence of implementation, and is linked to the next criterion. The criterion score is derived from the final assessment of SE 2, financial management (Section 3.1) and other criteria dealing with adequate supply and effective management of resources (medication, consumables, etc.). The volume and severity of deficiencies in related sections will determine whether both criteria are penalised and to what extent.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.3,"The senior manager ensures that the required physical facilities, installations and equipment are available and are used optimally to provide the specified services.","Please note that the term equipment refers to all hospital, as well as medical equipment.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.4,The senior manager ensures the implementation of risk management processes and activities.,,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.5,The senior manager implements processes to monitor patient expectations and satisfaction.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.6,The senior manager implements processes to monitor staff expectations and satisfaction.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.7,The senior manager implements processes for quality management and improvement.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,1,1.2,1.2.2,1.2.2.8,The senior manager implements processes to monitor the quality of clinical and other services.,"This criterion's score should be derived from the ratings obtained for standard 8.2.1, in particular criterion 8.2.1.1. 
The assessment of the latter is in turn influenced by the aggregated scores obtained from the quality improvement standards in the clinical services that require clinical audits and patient record audits to be conducted.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,8,TRUE
HOSPITAL,1,1.2,1.2.3,1.2.3.1,The leaders of the organisation are formally identified.,"This information can be obtained from various sources such as the organogram, job descriptions, performance agreements, letters of appointment to committees, designation of leadership roles for various tasks/responsibilities, etc.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.3,1.2.3.2,The leaders work collaboratively to develop and implement the strategic plan of the organisation.,"The term “strategic plan” does not necessarily mean a single document as indicated below. Sometimes organisations refer to “business/operational” plans which may be separate entities or be integrated into the “strategic plans”. In assessing compliance in the public sector, the designated “level” of the hospital and its “service package” as published in national and district documents should be considered. The major private hospital groups publish this information on their websites, brochures, etc. Although these media may not be part of the document referred to as the “strategic plan”, the information does form part of the corporate marketing/public relations strategy, at facility or corporate level.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.3,1.2.3.3,The organisation’s leaders meet with the leaders of other provider organisations in their community to develop and revise strategic and operational plans to meet the community needs.,"The strategic plan gives rise to the implementation of the mission and the criterion requires not only a documented plan, but also evidence of implementation and this can be assessed by means of progress reports (monthly or quarterly and also annually). Often organisations require each department to compile a departmental “operational plan”. These plans are linked to the organisational strategic/business plan, which is regularly reviewed to reflect the progress made with the implementation of strategic/operational objectives in achieving set targets.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.4,1.2.4.1,The organisation has identified its target population.,The term target population refers to any clearly definable group of individuals and/or families who may experience a need. In health services this is usually confined to those individuals within a particular geographical location and is linked to the population census for that area. Socio-economic categories and disease profiles are considered when planning for healthcare services to be provided.,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.4,1.2.4.2,The organisation has implemented a communication strategy with these populations.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.4,1.2.4.3,The organisation provides information on the quality of its services.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.5,1.2.5.1,The organisation’s leaders establish ethical and legal norms that protect patients and their rights.,"The leaders consider national and international ethical norms when developing the organisation’s framework for ethical management. Evidence of compliance exists in the form of documented systems such as a policy framework, guidelines, position statements such as those from professional councils and associations, Acts, regulations, etc. Patient right charters are also relevant to this section. Also note the reference in the intent to the organisation’s marketing activities and the processes in relation to the admission, discharge and transfer of patients. Although this partly refers to formal systems it also requires an organisational system/process/body, e.g. an Ethics Committee or other structure. Final assessment of this criterion is based on evidence of implementation of these principles throughout the organisation and the rating should reflect the aggregated score of relevant standards and criteria.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,1,1.2,1.2.5,1.2.5.2,The organisation discloses its ownership.,"This is generally evident for hospitals in the public sector as well as in major private hospital groups. In some of the “independent hospitals” this information may not be readily available, but could be found in company documents, list of the Board of Directors, etc.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,1,1.2,1.2.5,1.2.5.3,The organisation honestly portrays its services to patients.,"There is no single aspect against which compliance is assessed and the criterion is generally rated compliant by default unless there is evidence of a very specific “transgression” such as inadequate/incorrect information to patients (SE 4), complaints about accounts, serious misconduct, financial mismanagement (accounts/billing for services), dishonest/inappropriate marketing of services, etc.",Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,1,1.2,1.2.5,1.2.5.4,"The organisation provides clear admission, treatment, transfer and discharge policies.","The same general rule applies for “policies and procedures” and the score for this criterion should reflect the findings of the relevant/related criteria in the clinical service elements, including the results obtained from patient record audits. This criterion cannot be marked compliant if there are a large number of non- or partially compliant criteria in the relevant sections in the clinical SEs.",Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,1,1.2,1.2.5,1.2.5.5,The organisation accurately bills for services.,This refers to a policy framework and the outcome as recorded in either an internal or external financial audit report. This will be assessed from examination of the complaints register and from the auditors’ reports.,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,1,1.2,1.2.5,1.2.5.6,The organisation has a committee or other mechanism to control all research undertaken within the organisation.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
