facilityType,seNumber,sectionPiId,standardId,questionCode,questionText,guideline,category,severity,isCritical,dataElementUid,dhis2DataElementCode,dhis2DataElementName,uidMatchMethod,valueType,domainType,optionSetUid,compulsory,sortOrderWithinStandard,active
HOSPITAL,12,12.4,12.4.1,12.4.1.1,The organisation implements policies and procedures for assessing patients on admission and during on-going care.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.4,12.4.1,12.4.1.2,Only  those individuals  permitted  by  applicable regulations or by registration perform the assessments.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.4,12.4.1,12.4.1.3,The scope and content of assessment by each discipline is defined.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.4,12.4.1,12.4.1.4,Policies  and  procedures  ensure  that  assessments  are  performed within  appropriate  time  frames  and  that  they  are  adequately documented in the patients’ records.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.1,Each  patient  admitted  has  an  initial  assessment  that  meets organisational policy.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.2,The initial assessment includes health history.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.3,The initial assessment includes physical examination.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.4,"The  initial  assessment  includes  functional  examination,  where applicable.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.5,"The  initial  assessment  includes  social  and  economic  assessment, where applicable.",,Basic Process + Patient Care,2,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.6,"The  initial  assessment  includes  psychological  assessment,  where applicable.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.7,"The  initial  assessment  includes  cultural  assessment,  where applicable.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.8,The initial assessment results in an initial diagnosis.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,8,TRUE
HOSPITAL,12,12.4,12.4.2,12.4.2.9,"The initial assessment results in the identification of the patient’s medical, nursing or other health needs.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,9,TRUE
HOSPITAL,12,12.4,12.4.3,12.4.3.1,Assessment  findings  are  documented  in  the  patient’s  record  and are readily available to those responsible for the patient’s care.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.4,12.4.3,12.4.3.2,Patient  assessment  data  and  information  are  analysed  and integrated by those responsible for the patient’s care.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.4,12.4.3,12.4.3.3,Patient needs are prioritised on the basis of assessment results.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.4,12.4.3,12.4.3.4,The  patient  and/or  the  family  participate  in  the  decisions regarding the priority needs to be met.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.5,12.5.1,12.5.1.1,The planned care is provided and noted in the patient’s record.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.5,12.5.1,12.5.1.2,All  procedures  and  diagnostic  tests  ordered  and  performed  are written into the patient’s record.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.5,12.5.1,12.5.1.3,The  results  of  procedures  and  diagnostic  tests  performed  are available in the patient’s record.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.5,12.5.1,12.5.1.4,Re-assessments are documented in the patient's record.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.5,12.5.1,12.5.1.5,The  patient’s  plan  of  care  is  modified  when  the  patient’s  needs change.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.5,12.5.2,12.5.2.1,"Policies  and  procedures  for  identified  high-risk  patients  and procedures,  which  include  at  least  items  a)  to  k)  in  the  intent statement above, are implemented.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.5,12.5.2,12.5.2.2,The  personnel  are  trained  and  use  the  policies  and  procedures  to guide care.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.5,12.5.3,12.5.3.1,There is a documented process for obtaining informed consent.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.5,12.5.3,12.5.3.2,Patients  are  informed  about  their  condition  and  the  proposed treatment.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.5,12.5.3,12.5.3.3,Patients  know  the  identity  of  the  medical  practitioner  or  other professional practitioner responsible for their care.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.5,12.5.3,12.5.3.4,"The  information  provided  is  recorded,  with  the  record  of  the patient having provided written or verbal consent.",,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.5,12.5.4,12.5.4.1,The  patients’  initial  medical  assessment  is  documented  before anaesthesia.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.5,12.5.4,12.5.4.2,The  patient’s  pre-operative  diagnosis anaesthesia.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.5,12.5.4,12.5.4.3,A post-operative diagnosis is documented.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.5,12.5.4,12.5.4.4,"The  names  of  the  surgeon,  and  the  names  of  other  personnel  as required by law, are documented.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.5,12.5.4,12.5.4.5,The  patient’s  physiological  status  is  monitored  during  the immediate post-surgery period.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.5,12.5.5,12.5.5.1,The assessment process makes provision for patients in pain to be identified.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.5,12.5.5,12.5.5.2,Patients in pain receive care according to pain management guidelines.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.5,12.5.5,12.5.5.3,Patients and families are educated about pain and pain management.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.5,12.5.5,12.5.5.4,The  organisation  has  processes  to  educate  health  professionals  in assessing and managing pain.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.5,12.5.6,12.5.6.1,"Policies  and  procedures  regarding  end-of-life  care,  at including  elements  a)  to  d) implemented.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.5,12.5.6,12.5.6.2,The  patient  and  the  family/guardian  are  involved  in  care decisions.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.5,12.5.6,12.5.6.3,Pain and primary or secondary symptoms are managed.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.5,12.5.6,12.5.6.4,Interventions  address  patient  and  family  religious  and  cultural concerns.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.6,12.6.1,12.6.1.1,Critical: ¨,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.6,12.6.1,12.6.1.2,21.3.1.1,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.6,12.6.1,12.6.1.3,Critical: ¨,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.6,12.6.1,12.6.1.4,Critical: ¨,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.1,"Policies and procedures that guide the safe prescribing, ordering and administration of medications are implemented.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.2,The use of verbal/telephonic medication orders is documented.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.3,Only those permitted by the organisation and by relevant laws and regulations prescribe medication. Compliance will be verified during the patient record audit.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.4,"Medications, including herbal and over the counter medications, brought into the organisation by the patient or the family are known to the patient's medical practitioner and are noted in the patient's record.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.5,Critical: ¨,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.6,Critical: ¨,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,12,12.6,12.6.2,12.6.2.7,Critical: ¨,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.1,Only those permitted by the organisation and by relevant laws and regulations administer medications.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.2,There  is  evidence  that  patients  are  identified  before  medications are administered.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.3,Medications  are  checked  against  the  original  prescriptions  and administered as prescribed.,,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.4,Health  professionals  monitor  medication  effects  on  patients collaboratively.,,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.5,"Adverse Drug Reactions (ADR) are observed, recorded and reported through  a  process  and  within  a  time  frame  defined  by  the organisation.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.6,Medication  errors  are  reported  through  a  process  and  within  a time frame defined by the organisation.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.7,The  medications  prescribed  for  and  administered  to  each  patient are recorded.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.8,Critical: þ,,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,8,TRUE
HOSPITAL,12,12.6,12.6.3,12.6.3.9,Critical: ¨,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,9,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.1,"Food, appropriate to the patient, is regularly available.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.2,"An  order  for  food,  based  on  the  patients’  nutritional  status  and needs, is recorded in the patient’s file.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.3,"When families provide food, they are educated about the patient’s diet limitations.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.4,Patients  assessed  as  being  at  nutrition  risk  receive  nutrition therapy.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.5,"A  collaborative  process  is  used  to  plan,  deliver  and  monitor nutrition therapy.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.6,"Nutrition  therapy  provided,  either  oral  or  intravenous,  is  written in the patient’s record.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,12,12.7,12.7.1,12.7.1.7,Response to nutrition therapy is monitored and recorded.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,12,12.8,12.8.1,12.8.1.1,Patients and families indicate that they have been informed about their diagnosis.,,Basic Process + Patient Care,2,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.8,12.8.1,12.8.1.2,Patients  indicate  that  they  have  been  informed  about  the management of their condition.,,Basic Process + Patient Care,2,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.8,12.8.1,12.8.1.3,"Patients are educated about their diagnosis, relevant high health risks, e.g. safe use of medication and medical equipment, medicine and food interaction, diet and food interactions, defaulting on Linked criterion: medication use etc.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.8,12.8.1,12.8.1.4,Patients and families indicate that they have been informed about any financial implications of care decisions.,,Basic Process + Patient Care,2,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.9,12.9.1,12.9.1.1,Policies  and  procedures  that  guide  the  movement  of  patients within the organisation are implemented.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.9,12.9.1,12.9.1.2,Individuals responsible for the patient’s care and its  Coordination are identified for all phases.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.9,12.9.1,12.9.1.3,Continuity  and  Coordination  are  evident  throughout  all  phases  of patient care.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.9,12.9.1,12.9.1.4,The  record  of  the  patient  accompanies  the  patient  when transferred within the organisation.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.9,12.9.2,12.9.2.1,Policies  and  procedures  that  guide  the  movement  of  patients  for referral to another organisation are implemented.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.9,12.9.2,12.9.2.2,A copy of the referral note is available in the patient record.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.9,12.9.2,12.9.2.3,"Follow-up of investigations/consultations  performed  outside  the  organisation, are noted in the patient record.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.1,The health organisation agreeing to receive the patient is noted in the patient’s record.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.2,"The  transferring  organisation  determines  that  the  receiving organisation  can  meet  the  patient’s  continuing  care  needs,  and establishes arrangements to ensure continuity.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.3,The  process  for  transferring  the  patient  considers  transportation needs.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.4,The  process  determines  that  patients  are  accompanied  and monitored by an appropriately qualified person during transfer.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.5,"When  a  patient  is  transferred  to  another  organisation,  the receiving organisation is given a written summary of the patient’s clinical  condition  and  the  interventions  provided  by  the  referring organisation.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.6,A copy of the transfer summary is available in the patient record.,,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,12,12.9,12.9.3,12.9.3.7,The health organisation agreeing to receive the patient is noted in the patient’s record.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,12,12.9,12.9.4,12.9.4.1,There  is  a  documented  process  to  appropriately  discharge patients.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.9,12.9.4,12.9.4.2,"The  organisation  works  with  the  family,  health  practitioners  and agencies outside the organisation to ensure timely and appropriate discharge.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.9,12.9.4,12.9.4.3,"Patients  and,  as  appropriate, families  are  given understandable  follow-up  instructions  and  this  is  noted  in  the patient’s record.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.9,12.9.4,12.9.4.4,"A discharge summary, which includes at least items a) to g) in the intent  statement,  is  written,  by  the  medical  practitioner  when each patient is discharged.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.9,12.9.4,12.9.4.5,Each record contains a copy of the discharge summary.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.10,12.10.1,12.10.1.1,There are formalised quality improvement processes for the service that have been developed and agreed upon by the personnel of the service.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.10,12.10.1,12.10.1.2,Indicators of performance are identified to evaluate the quality of treatment and patient care.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.10,12.10.1,12.10.1.3,The quality improvement cycle includes the monitoring and evaluation of the standards set and the remedial action implemented.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.10,12.10.1,12.10.1.4,A documentation audit system is in place.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.11,12.11.1,12.11.1.1,There are processes that support patient and family rights during care.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.11,12.11.1,12.11.1.2,"Measures are taken to protect the patient's privacy, person and possessions.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.11,12.11.1,12.11.1.3,The personnel respect the rights of patients and families to treatment and to refuse treatment.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.12,12.12.1,12.12.1.1,"The department identifies the procedures and processes associated with the risk of infection, and implements strategies to reduce risk.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.12,12.12.1,12.12.1.2,Infection  control  processes  includes  prevention  of  the  spread  of respiratory tract infections.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.12,12.12.1,12.12.1.3,Infection  control  processes  includes  prevention  of  the  spread  of urinary tract infections.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.12,12.12.1,12.12.1.4,Infection  control  processes  includes  prevention  of  the  spread  of infection through intravascular invasive devices.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.12,12.12.1,12.12.1.5,Infection  control  processes  includes  prevention  of  the  spread  of infection through surgical wounds.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,12,12.13,12.13.1,12.13.1.1,The department conducts on-going monitoring of risks through risk documented assessments as part of organisational management processes.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,12,12.13,12.13.1,12.13.1.2,"A system for monitoring incidents/near misses/sentinel/adverse the documentation of is available and events interventions and responses to recorded incidents. includes Participation at department level, in the facility's overall system for monitoring negative incidents/near misses/adverse events will be evaluated. Analysed data with responses/remedial action related to departmental incidents is required.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,12,12.13,12.13.1,12.13.1.3,"Security measures are in place and are implemented to ensure the safety of patients, personnel and visitors.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,12,12.13,12.13.1,12.13.1.4,Fire safety measures are implemented.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,12,12.13,12.13.1,12.13.1.5,"The organisation's policy on handling, storing and disposing of health waste is implemented.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,13,13.1,13.1.1,13.1.1.1,The individuals responsible for the patient’s care are designated.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,13,13.1,13.1.1,13.1.1.2,The individuals responsible for patient care are qualified.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,13,13.1,13.1.1,13.1.1.3,The  individuals  responsible  for  patient  care  are  identified  and made known to the patient and other personnel.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.1,The  patients'  clinical  records  are  completed  according  to guidelines determined by the organisation.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.2,The  patients’  records  are  up  to  date  to  ensure  the  transfer  of  the latest information between care providers.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.3,Information exchanged includes a summary of the care provided.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.4,Information exchanged includes the patient’s progress.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.5,The author can be identified for each patient record entry.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.6,The date of each patient record entry can be identified.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,13,13.1,13.1.2,13.1.2.7,The time of each patient record entry can be identified.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.1,Patient  and  staff  accommodation  and  equipment  is  adequate  to meet patient care needs.,,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.2,Oxygen and vacuum supplies meet the needs of patients for care.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.3,There  is  evidence  that  equipment  is  maintained  in  accordance with the policies of the organisation.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.4,Resuscitation  equipment  is  available  in  accordance  with  the policies of the organisation.,,Basic Process + Patient Care,4,TRUE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.5,"Where there are no piped oxygen installations, there is a documented procedure for ensuring that cylinder pressures (i.e. contents) are monitored according to organisational policy while patients are receiving oxygen.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,5,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.6,Each patient has access to a nurse call system at all times.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,6,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.7,Electricity and water is available in accordance with the policies of the organisation.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,7,TRUE
HOSPITAL,13,13.2,13.2.1,13.2.1.8,"Where  there  is  a  neonatal  ICU,  there  is  a  dedicated  area  for preparing infant feeds.",,Basic Process + Patient Care,3,FALSE,,,,,TEXT,TRACKER,,FALSE,8,TRUE
HOSPITAL,13,13.2,13.2.2,13.2.2.1,Current guidelines for the provision of critical care services and facilities are followed.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,1,TRUE
HOSPITAL,13,13.2,13.2.2,13.2.2.2,Staffing of the service complies with accepted staffing norms for critical care services.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,2,TRUE
HOSPITAL,13,13.2,13.2.2,13.2.2.3,Available medical equipment complies with accepted norms for critical care services.,,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,3,TRUE
HOSPITAL,13,13.2,13.2.2,13.2.2.4,"Where resuscitation, intensive care, life support or critical monitoring equipment is used that does not have built-in battery backup units, there is an uninterruptible power supply (UPS) that complies with relevant requirements and regularly serviced and 13.3 Clinical Practice Guidelines tested.",,Basic Process + Patient Care,4,FALSE,,,,,TEXT,TRACKER,,FALSE,4,TRUE
