root,linked,in_hl,in_mx,mx_color,tag,status
40.4.2.14,21.6.1.1,0,1,green,G,MX_ONLY
40.4.2.14,21.9.1.2,0,1,green,G,MX_ONLY
40.4.2.14,40.8.1.6,0,1,yellow,,MX_ONLY
40.4.2.14,7.1.1.7,0,1,green,G,MX_ONLY
40.4.2.2,40.1.1.3,0,1,green,G,MX_ONLY
40.4.2.3,40.1.1.3,0,1,green,G,MX_ONLY
40.4.2.6,21.3.1.1,0,1,green,G,MX_ONLY
40.4.2.7,21.3.1.1,0,1,green,G,MX_ONLY
40.4.2.7,40.4.2.8,0,1,yellow,,MX_ONLY
40.4.2.7,40.4.2.9,0,1,yellow,,MX_ONLY
40.4.2.7,7.2.2.1,0,1,green,G,MX_ONLY
