root,linked,in_hl,in_mx,mx_color,tag,status
38.7.1.3,5.4.1.1,0,1,green,G,MX_ONLY
38.8.1.1,9.2.1.1,1,1,green,G,BOTH
38.9.1.1,7.1.1.1,1,1,green,G,BOTH
38.9.1.2,7.1.1.7,1,1,green,G,BOTH
38.9.1.2,7.2.6.4,1,1,green,G,BOTH
38.9.1.3,7.4.1.4,0,1,green,G,MX_ONLY
38.9.1.4,7.5.1.1,1,1,green,G,BOTH
38.9.1.5,1.2.2.2,1,0,,,HL_ONLY
38.9.1.5,1.2.2.3,1,0,,,HL_ONLY
38.9.1.5,1.2.5.4,1,0,,,HL_ONLY
38.9.1.5,1.2.6.1,1,0,,,HL_ONLY
38.9.1.5,1.2.6.6,1,0,,,HL_ONLY
38.9.1.5,1.3.1.1,1,0,,,HL_ONLY
38.9.1.5,1.3.1.4,1,0,,,HL_ONLY
38.9.1.5,1.3.2.1,1,0,,,HL_ONLY
38.9.1.5,1.3.2.2,1,0,,,HL_ONLY
38.9.1.5,1.3.2.4,1,0,,,HL_ONLY
38.9.1.5,2.1.1.4,1,0,,,HL_ONLY
38.9.1.5,2.2.1.1,1,0,,,HL_ONLY
38.9.1.5,2.4.2.4,1,0,,,HL_ONLY
38.9.1.5,2.5.1.1,1,0,,,HL_ONLY
38.9.1.5,21.1.2.1,1,0,,,HL_ONLY
38.9.1.5,21.2.1.7,1,0,,,HL_ONLY
38.9.1.5,21.3.1.1,1,0,,,HL_ONLY
38.9.1.5,21.5.1.1,1,0,,,HL_ONLY
38.9.1.5,21.5.1.11,1,0,,,HL_ONLY
38.9.1.5,21.5.1.12,1,0,,,HL_ONLY
38.9.1.5,21.5.1.8,1,0,,,HL_ONLY
38.9.1.5,21.5.1.9,1,0,,,HL_ONLY
38.9.1.5,21.6.1.1,1,0,,,HL_ONLY
38.9.1.5,21.9.1.2,1,0,,,HL_ONLY
38.9.1.5,26.4.1.3,1,0,,,HL_ONLY
38.9.1.5,29.2.1.1,1,0,,,HL_ONLY
38.9.1.5,29.2.1.2,1,0,,,HL_ONLY
38.9.1.5,29.2.2.1,1,0,,,HL_ONLY
38.9.1.5,29.2.3.2,1,0,,,HL_ONLY
38.9.1.5,29.3.1.1,1,0,,,HL_ONLY
38.9.1.5,29.3.1.4,1,0,,,HL_ONLY
