40.2.2.5-comments         | lY02YxAkfoZ  | The initial assessment includes a psychological and behavioural assessment of the child.-comments
40.2.2.6                  | wQBPzDDC5Va  | The initial assessment includes a developmental history and current functional assessment of the child.
40.2.2.6-comments         | Zcr4P8voYCh  | The initial assessment includes a developmental history and current functional assessment of the child.-comments
40.2.2.7                  | wEJgZGN9Ph2  | The initial assessment includes a social, cultural and where applicable, economic assessment of the child and family.
40.2.2.7-comments         | o6WwOAi5amj  | The initial assessment includes a social, cultural and where applicable, economic assessment of the child and family.-comments
40.2.2.8                  | VfLCSlOUV2H  | The initial assessment includes a genogram of family construction and functional assessment of the family.
40.2.2.8-comments         | FdiejWitTPa  | The initial assessment includes a genogram of family construction and functional assessment of the family.-comments
40.2.2.9                  | ckHB4FKU0VT  | The initial assessment results in an understanding of all previous care and the care that the family is presently seeking.
40.2.2.9-comments         | kC16a3PYnuv  | The initial assessment results in an understanding of all previous care and the care that the family is presently seeking.-comments
40.2.2.10                 | YN1JCWdg3D6  | The initial assessment results in a diagnosis and the formulation of an individualised plan of care for the child and family.
40.2.2.10-comments        | W6840eaZxR8  | The initial assessment results in a diagnosis and the formulation of an individualised plan of care for the child and family.-comments
40.2.2.11                 | Sfdc64N2ted  | The organisation identifies patients in pain during the initial assessment process.
40.2.2.11-comments        | jIYciiCSLFy  | The organisation identifies patients in pain during the initial assessment process.-comments
40.2.2.12                 | QO8iNuMVSJC  | The organisation identifies those patient populations and special situations for which the initial assessment process is modified.
40.2.2.12-comments        | ry162xhuYSV  | The organisation identifies those patient populations and special situations for which the initial assessment process is modified.-comments
40.2.2.13                 | J4lteUZSjKi  | Those special patient populations receive individualised assessments.
40.2.2.13-comments        | NUHi5ySo8GP  | Those special patient populations receive individualised assessments.-comments
40.2.2.14                 | HyxUq5RdBgA  | The findings of assessments performed outside the organisation are verified on admission.
40.2.2.14-comments        | iOgNtb7apd8  | The findings of assessments performed outside the organisation are verified on admission.-comments
40.2.2.15                 | Vfw5xJ6AnbE  | Any significant changes in the patient's condition since the assessment performed outside of the organisation are noted in the patient's record.
40.2.2.15-comments        | zeOraUGX7ob  | Any significant changes in the patient's condition since the assessment performed outside of the organisation are noted in the patient's record.-comments
40.2.2.16                 | sCe2HGpEsth  | A process is in place to identify needs for discharge planning at the initial assessment.
40.2.2.16-comments        | tld2Xx7yJhJ  | A process is in place to identify needs for discharge planning at the initial assessment.-comments
40.2.3                    | vb3HDxa4YNA  | Healthcare professionals responsible for patient care collaborate to analyse and integrate assessment information.
40.2.3-comments           | Uzm69phM5NT  | Healthcare professionals responsible for patient care collaborate to analyse and integrate assessment information.-comments
40.2.3.1                  | AkQuNazLibw  | Assessment findings are documented in the patient's record and are readily available to those responsible for the patient's care.
40.2.3.1-comments         | oR08g5JJO9V  | Assessment findings are documented in the patient's record and are readily available to those responsible for the patient's care.-comments
40.2.3.2                  | SW2izpm1Jcq  | Patient assessment data and information are analysed and integrated by those responsible for the patient's care.
40.2.3.2-comments         | W5V5vAcKNvy  | Patient assessment data and information are analysed and integrated by those responsible for the patient's care.-comments
40.2.3.3                  | UncOGGYEppt  | Patient needs are prioritised based on assessment results.
40.2.3.3-comments         | mecGUHY4Ebv  | Patient needs are prioritised based on assessment results.-comments
40.2.3.4                  | pizoH2cVIwQ  | The patient and/or his or her family participate in the decisions regarding the priority needs to be met.
40.2.3.4-comments         | V4SgvEgnpo2  | The patient and/or his or her family participate in the decisions regarding the priority needs to be met.-comments
40.3                      | TqboaO4KPCC  | 40.3 Patient Care --
40.3.1                    | L7ftSDvzr7x  | Adequate resources are available for the provision of safe care to patients in the service.
40.3.1-comments           | E3q0odk5Pp3  | Adequate resources are available for the provision of safe care to patients in the service.-comments
40.3.1.1                  | TBH4krJxPwS  | Patient and personnel accommodation in the service is adequate to meet patient care needs.
40.3.1.1-comments         | cc8zqqZClEB  | Patient and personnel accommodation in the service is adequate to meet patient care needs.-comments
40.3.1.2                  | epJWZ07bnha  | There is evidence that equipment is maintained in accordance with the policies of the organisation.
40.3.1.2-comments         | kMSWiXe9aCg  | There is evidence that equipment is maintained in accordance with the policies of the organisation.-comments
40.3.1.3                  | HPf9SXwr3hD  | Resuscitation equipment is available in accordance with the policies of the organisation and includes a) - m) in the standard intent above.
40.3.1.3-comments         | r6ump5bhODo  | Resuscitation equipment is available in accordance with the policies of the organisation and includes a) - m) in the standard intent above.-comments
40.3.1.4                  | GZevrjL7mAw  | Each patient has access to a nurse call system at all times.
40.3.1.4-comments         | nnIEpgqyIPb  | Each patient has access to a nurse call system at all times.-comments
40.3.1.5                  | uUibdWtvtNU  | Oxygen and vacuum supplies meet patient care requirements.
40.3.1.5-comments         | FidjOg8VJmU  | Oxygen and vacuum supplies meet patient care requirements.-comments
40.3.1.6                  | mpJ5PjzdOWN  | When patients receive oxygen from a cylinder, the cylinder pressures are monitored according to organisation policy.
40.3.1.6-comments         | TgqXBFa0YHH  | When patients receive oxygen from a cylinder, the cylinder pressures are monitored according to organisation policy.-comments
40.3.1.7                  | FE3KChomGqU  | Electricity and water is available in accordance with the policies and arrangements of the organisation.
40.3.1.7-comments         | YW4QtsJTNis  | Electricity and water is available in accordance with the policies and arrangements of the organisation.-comments
